,testetst_Image8_edited__Bioformats,testetst_Image8_edited__PredictorSimple,testetst_Image8_edited__PredictorNetwork,testetst_Image8_edited__PredictorSimpleAnnotation,testetst_Image8_edited__PredictorNetworkAnnotation
StructuredAnnotations/XMLAnnotations/13/XMLAnnotation/Value/OriginalMetadata/Value = unsigned integer,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/SizeC = 3,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/7/XMLAnnotation/Value/OriginalMetadata/Key = PhotometricInterpretation,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/6/XMLAnnotation/Value/OriginalMetadata/Value = 680,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/ID = Pixels:0,False,False,False,True,True
Images/3/Image/Pixelss/0/Pixels/SizeZ = 1,False,False,False,False,True
Images/0/Image/Pixelss/0/Pixels/SizeX = 680,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/14/XMLAnnotation/ID = Annotation:14,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/SizeT = 30,False,False,False,True,True
Images/0/Image/Pixelss/0/Pixels/Channels/0/Channel/ID = Channel:0:0,True,True,True,True,True
Images/3/Image/Pixelss/0/Pixels/DimensionOrder = XYCZT,False,False,False,False,True
Images/1/Image/Pixelss/0/Pixels/PhysicalSizeXUnit = µm,False,True,True,True,True
StructuredAnnotations/XMLAnnotations/7/XMLAnnotation/ID = Annotation:7,True,False,False,False,False
Images/0/Image/Pixelss/0/Pixels/Channels/0/Channel/SamplesPerPixel = 1,True,True,True,True,True
StructuredAnnotations/XMLAnnotations/2/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/2/XMLAnnotation/Value/OriginalMetadata/Key = MetaDataPhotometricInterpretation,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/Channels/2/Channel/ID = Channel:0:2,False,True,True,True,True
"StructuredAnnotations = 
    ",False,True,True,True,True
StructuredAnnotations/XMLAnnotations/10/XMLAnnotation/Value/OriginalMetadata/Key = YResolution,True,False,False,False,False
Images/0/Image/Pixelss/0/Pixels/PhysicalSizeXUnit = µm,True,True,True,True,True
Images/1/Image/Pixelss/0/Pixels/PhysicalSizeYUnit = µm,False,True,True,True,True
Images/3/Image/Pixelss/0/Pixels/Channels/2/Channel/SamplesPerPixel = 1,False,False,False,False,True
StructuredAnnotations/XMLAnnotations/10/XMLAnnotation/ID = Annotation:10,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/SizeX = 680,False,True,True,True,True
Images/3/Image/Pixelss/0/Pixels/SizeX = 680,False,False,False,False,True
StructuredAnnotations/XMLAnnotations/5/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
StructuredAnnotations/XMLAnnotations/3/XMLAnnotation/ID = Annotation:3,True,False,False,False,False
Images/1/Image/Pixelss/0/Pixels/Channels/0/Channel/ID = Channel:0:0,False,True,True,True,True
Images/2/Image/Pixelss/0/Pixels/PhysicalSizeXUnit = µm,False,False,False,True,True
StructuredAnnotations/XMLAnnotations/1/XMLAnnotation/Namespace = openmicroscopy.org/OriginalMetadata,True,False,False,False,False
Images/2/Image/Pixelss/0/Pixels/Channels/2/Channel/SamplesPerPixel = 1,False,False,False,True,True
Images/3/Image/Name = testetst_Image8_edited_.ome.tif,False,False,False,False,True
Images/2/Image/Pixelss/0/Pixels/BigEndian = false,False,False,False,True,True
Images/0/Image/Name = testetst_Image8_edited_.ome.tif,True,True,True,True,True
Images/2/Image/Pixelss/0/Pixels/Channels/0/Channel/SamplesPerPixel = 1,False,False,False,True,True
Images/2/Image/Pixelss/0/Pixels/SizeX = 680,False,False,False,True,True
Images/1/Image/Pixelss/0/Pixels/SizeY = 280,False,True,True,True,True
Images/2/Image/ID = Image:0,False,False,False,True,True
